,lons,lats,temperature,topo,rural,urban
14264,4.912135830412798,53.630011515913544,14.826569,0.0,0.0,0.0
14265,4.934640375000366,53.62082202895753,14.873444,0.0,0.0,0.0
14266,4.932975322647546,53.604364123241034,14.904694,0.0,0.0,0.0
14267,4.863513753660092,53.63172645727184,14.803131,0.0,0.0,0.0
14268,4.814887944231666,53.63342470936623,14.803131,0.0,0.0,0.0
14269,4.837429179834262,53.624249734813894,14.810944,0.0,0.0,0.0
14270,4.83579608220326,53.60779054799631,14.834381,0.0,0.0,0.0
14271,4.8583139980049275,53.59861490270847,14.857819,0.0,0.0,0.0
14272,4.9068871684376605,53.596902777038075,14.889069,0.0,0.0,0.0
14273,4.884387572852257,53.6060856715889,14.850006,0.0,0.0,0.0
14274,4.886036649317097,53.62254422162767,14.826569,0.0,0.0,0.0
